iid1	iid2	max_IBD	sum_IBD>8	n_IBD>8	sum_IBD>12	n_IBD>12	sum_IBD>16	n_IBD>16	sum_IBD>20	n_IBD>20
RKC012.A0101	RKC035.A0101	33.93450379371643	45.61390280723571	2.0	33.93450379371643	1.0	33.93450379371643	1.0	33.93450379371643	1.0
MGS091.A0101	MGS192.A0101	31.171095371246338	45.59639692306517	2.0	45.59639692306517	2.0	31.171095371246338	1.0	31.171095371246338	1.0
RKF141.A0101	RKF238.A0101	45.59169709682464	45.59169709682464	1.0	45.59169709682464	1.0	45.59169709682464	1.0	45.59169709682464	1.0
CSK020.A0101	CSK063.A0101	27.85519361495971	45.58919668197631	3.0	27.85519361495971	1.0	27.85519361495971	1.0	27.85519361495971	1.0
RKF080.A0101	RKF181.A0101	45.58870270848274	45.58870270848274	1.0	45.58870270848274	1.0	45.58870270848274	1.0	45.58870270848274	1.0
RKF072.A0101	RKC001.A0101	14.01529908180236	45.58849632740019	4.0	27.763795852661122	2.0	0.0	0.0	0.0	0.0
LEO112.A0101	LEO141.A0101	36.83489561080932	45.5698013305664	2.0	36.83489561080932	1.0	36.83489561080932	1.0	36.83489561080932	1.0
MGS120.A0101	MGS021.A0101	34.86640453338623	45.547306537628174	2.0	34.86640453338623	1.0	34.86640453338623	1.0	34.86640453338623	1.0
MGS245.A0101	MGS173.A0101	27.370405197143548	45.540705323219285	2.0	45.540705323219285	2.0	45.540705323219285	2.0	27.370405197143548	1.0
MGS244.A0101	MGS015.A0101	35.95679957652464	45.53739983821286	2.0	35.95679957652464	1.0	35.95679957652464	1.0	35.95679957652464	1.0
LEO060.A0101	LEO096.A0101	28.85369956493377	45.491105318069444	3.0	28.85369956493377	1.0	28.85369956493377	1.0	28.85369956493377	1.0
LEO097.A0101	LEO071.A0101	17.06939339637756	45.485591888427734	3.0	45.485591888427734	3.0	17.06939339637756	1.0	0.0	0.0
MGS142.A0101	MGS101.A0101	25.742298364639282	45.45939862728118	2.0	45.45939862728118	2.0	45.45939862728118	2.0	25.742298364639282	1.0
MGS142.A0101	MGS315.A0101	25.16800165176391	45.340502262115464	2.0	45.340502262115464	2.0	45.340502262115464	2.0	45.340502262115464	2.0
RKF051.A0101	RKO012.A0101	22.36229181289672	45.336991548538194	3.0	35.81498861312865	2.0	22.36229181289672	1.0	22.36229181289672	1.0
RKF194.A0101	RKF098.A0101	31.93520158529281	45.29430121183394	2.0	45.29430121183394	2.0	31.93520158529281	1.0	31.93520158529281	1.0
LEO111.A0101	LEO055.A0101	18.495601415634148	45.284700393676744	4.0	18.495601415634148	1.0	18.495601415634148	1.0	0.0	0.0
RKF150.A0101	RKF217.A0101	45.25380134582519	45.25380134582519	1.0	45.25380134582519	1.0	45.25380134582519	1.0	45.25380134582519	1.0
MGS206.A0101	MGS244.A0101	45.22309303283691	45.22309303283691	1.0	45.22309303283691	1.0	45.22309303283691	1.0	45.22309303283691	1.0
MGS249.A0101	MGS015.A0101	35.90719957719557	45.18760104547254	2.0	35.90719957719557	1.0	35.90719957719557	1.0	35.90719957719557	1.0
LEO019.A0101	LEO102.A0101	16.74770042300224	45.177197456359856	3.0	45.177197456359856	3.0	33.04849788546562	2.0	0.0	0.0
RKC031.A0101	RKF141.A0101	45.123597979545586	45.123597979545586	1.0	45.123597979545586	1.0	45.123597979545586	1.0	45.123597979545586	1.0
LEO041.A0101	CSK064.A0101	18.27329993247985	45.10940015316008	3.0	35.02559661865233	2.0	35.02559661865233	2.0	0.0	0.0
MGS473.A0101	MGS277.A0101	29.79820020264014	45.103898120578364	2.0	45.103898120578364	2.0	29.79820020264014	1.0	29.79820020264014	1.0
LEO121.A0101	LEO089.A0101	16.09101295471191	45.05430459976196	3.0	45.05430459976196	3.0	16.09101295471191	1.0	0.0	0.0
MGS218.A0101	MGS013.A0101	22.17320203781128	45.02668976783752	3.0	36.97749972343445	2.0	22.17320203781128	1.0	22.17320203781128	1.0
LEO059.A0101	LEO096.A0101	31.21969699859619	45.002299547195435	2.0	45.002299547195435	2.0	31.21969699859619	1.0	31.21969699859619	1.0
LEO121.A0101	LEO124.A0101	36.18009090423584	44.99808847904205	2.0	36.18009090423584	1.0	36.18009090423584	1.0	36.18009090423584	1.0
LEO112.A0101	MGS283.A0101	26.730799674987786	44.996595382690415	2.0	44.996595382690415	2.0	44.996595382690415	2.0	26.730799674987786	1.0
LEO075.A0101	LEO109.A0101	20.598602294921868	44.995701313018785	3.0	34.482300281524644	2.0	20.598602294921868	1.0	20.598602294921868	1.0
RKC052.A0101	RKF042.A0101	34.973597526550286	44.988697394728646	2.0	34.973597526550286	1.0	34.973597526550286	1.0	34.973597526550286	1.0
MGS261.A0101	MGS135.A0101	29.196801781654358	44.949504733085625	2.0	44.949504733085625	2.0	29.196801781654358	1.0	29.196801781654358	1.0
LEO019.A0101	LEO075.A0101	44.86890137195587	44.86890137195587	1.0	44.86890137195587	1.0	44.86890137195587	1.0	44.86890137195587	1.0
MGS079.A0101	MGS018.A0101	18.74460279941558	44.86409723758696	3.0	35.2095991373062	2.0	35.2095991373062	2.0	0.0	0.0
MGS086.A0101	MGS189.A0101	23.551201820373528	44.82750296592712	2.0	44.82750296592712	2.0	44.82750296592712	2.0	44.82750296592712	2.0
CSK019.A0101	CSK071.A0101	28.931903839111328	44.79230344295502	2.0	44.79230344295502	2.0	28.931903839111328	1.0	28.931903839111328	1.0
LEO140.A0101	LEO055.A0101	44.78209912776947	44.78209912776947	1.0	44.78209912776947	1.0	44.78209912776947	1.0	44.78209912776947	1.0
LEO112.A0101	LEO099.A0101	22.41219878196716	44.77099776268004	3.0	35.40039658546446	2.0	22.41219878196716	1.0	22.41219878196716	1.0
XXX001.A1814	I18742	13.431397080421439	44.75859701633452	4.0	26.006296277046193	2.0	0.0	0.0	0.0	0.0
MGS206.A0101	CSK025.A0101	16.707086563110348	44.71948146820068	3.0	32.79178142547607	2.0	32.79178142547607	2.0	0.0	0.0
LEO102.A0101	LEO026.A0101	23.20849895477295	44.708396494388566	3.0	35.75779795646667	2.0	23.20849895477295	1.0	23.20849895477295	1.0
LEO125.A0101	LEO088.A0101	24.66830015182495	44.67540383338928	2.0	44.67540383338928	2.0	44.67540383338928	2.0	44.67540383338928	2.0
LEO128.A0101	LEO019.A0101	29.882500134408467	44.655296765267835	2.0	44.655296765267835	2.0	29.882500134408467	1.0	29.882500134408467	1.0
MGS295.A0101	MGS047.A0101	32.20039904117584	44.64180171489715	2.0	44.64180171489715	2.0	32.20039904117584	1.0	32.20039904117584	1.0
LEO088.A0101	LEO118.A0101	24.66830015182495	44.622904062271104	2.0	44.622904062271104	2.0	44.622904062271104	2.0	24.66830015182495	1.0
RKF238.A0101	RKF032.A0101	44.61590349674225	44.61590349674225	1.0	44.61590349674225	1.0	44.61590349674225	1.0	44.61590349674225	1.0
RKC052.A0101	RKF209.A0101	34.973597526550286	44.59909722208975	2.0	34.973597526550286	1.0	34.973597526550286	1.0	34.973597526550286	1.0
CSK028.A0101	CSK036.A0101	44.57299709320068	44.57299709320068	1.0	44.57299709320068	1.0	44.57299709320068	1.0	44.57299709320068	1.0
CSK063.A0101	CSK064.A0101	28.358101844787598	44.52450275421141	2.0	44.52450275421141	2.0	44.52450275421141	2.0	28.358101844787598	1.0
MGS246.A0101	CSK022.A0101	33.28659832477569	44.51990425586699	2.0	33.28659832477569	1.0	33.28659832477569	1.0	33.28659832477569	1.0
LEO019.A0101	LEO090.A0101	18.12909841537475	44.49880123138427	3.0	35.33270359039306	2.0	35.33270359039306	2.0	0.0	0.0
LEO114.A0101	LEO036.A0101	44.48889920022338	44.48889920022338	1.0	44.48889920022338	1.0	44.48889920022338	1.0	44.48889920022338	1.0
MGS129.A0101	MGS385.A0101	24.999799858778708	44.4339002482593	2.0	44.4339002482593	2.0	44.4339002482593	2.0	24.999799858778708	1.0
LEO011.A0101	LEO114.A0101	28.295698761940002	44.422903656959534	2.0	44.422903656959534	2.0	44.422903656959534	2.0	28.295698761940002	1.0
RKF031.A0101	RKC039.A0101	31.76659345626831	44.40609514713287	2.0	44.40609514713287	2.0	31.76659345626831	1.0	31.76659345626831	1.0
RKC052.A0101	RKF016.A0101	34.973597526550286	44.39769722521304	2.0	34.973597526550286	1.0	34.973597526550286	1.0	34.973597526550286	1.0
MGS120.A0101	MGS047.A0101	20.01989930868148	44.39210146665572	3.0	33.42079967260359	2.0	20.01989930868148	1.0	20.01989930868148	1.0
MGS333.A0101	MGS233.A0101	44.38279867172241	44.38279867172241	1.0	44.38279867172241	1.0	44.38279867172241	1.0	44.38279867172241	1.0
RKC031.A0101	RKF032.A0101	44.36239898204803	44.36239898204803	1.0	44.36239898204803	1.0	44.36239898204803	1.0	44.36239898204803	1.0
RKC031.A0101	RKF046.A0101	44.360998272895806	44.360998272895806	1.0	44.360998272895806	1.0	44.360998272895806	1.0	44.360998272895806	1.0
CSK079.A0101	CSK068.A0101	33.07369947433471	44.3598985671997	2.0	33.07369947433471	1.0	33.07369947433471	1.0	33.07369947433471	1.0
MGS303.A0101	MGS079.A0101	44.34219934046268	44.34219934046268	1.0	44.34219934046268	1.0	44.34219934046268	1.0	44.34219934046268	1.0
RKF196.A0101	RKF098.A0101	30.34370094537735	44.33260113000868	2.0	44.33260113000868	2.0	30.34370094537735	1.0	30.34370094537735	1.0
MGS322.A0101	CSK017.A0101	21.96489572525024	44.325797315104865	3.0	36.016295905574225	2.0	21.96489572525024	1.0	21.96489572525024	1.0
LEO067.A0101	LEO068.A0101	24.84219670295715	44.29789781570434	2.0	44.29789781570434	2.0	44.29789781570434	2.0	24.84219670295715	1.0
MGS140.A0101	CSK060.A0101	22.63910770416259	44.270306825637796	3.0	22.63910770416259	1.0	22.63910770416259	1.0	22.63910770416259	1.0
MGS057.A0101	CSK019.A0101	21.28920555114746	44.21809911727905	3.0	35.2353036403656	2.0	21.28920555114746	1.0	21.28920555114746	1.0
MGS302.A0101	MGS013.A0101	29.62349653244018	44.20349663123488	2.0	44.20349663123488	2.0	29.62349653244018	1.0	29.62349653244018	1.0
MGS156.A0101	MGS119.A0101	30.312499403953552	44.18250024318694	2.0	44.18250024318694	2.0	30.312499403953552	1.0	30.312499403953552	1.0
I18742	KUP005.A0101	20.31470537185669	44.18161213397978	3.0	36.10631227493286	2.0	20.31470537185669	1.0	20.31470537185669	1.0
RKF046.A0101	RKF238.A0101	44.16060149669647	44.16060149669647	1.0	44.16060149669647	1.0	44.16060149669647	1.0	44.16060149669647	1.0
CSK002.A0101	CSK036.A0101	44.13830041885376	44.13830041885376	1.0	44.13830041885376	1.0	44.13830041885376	1.0	44.13830041885376	1.0
LEO011.A0101	XXX001.A1823	31.147600710392	44.12350803613663	2.0	44.12350803613663	2.0	31.147600710392	1.0	31.147600710392	1.0
CSK019.A0101	CSK028.A0101	43.98500919342041	43.98500919342041	1.0	43.98500919342041	1.0	43.98500919342041	1.0	43.98500919342041	1.0
CSK002.A0101	CSK019.A0101	43.98430585861206	43.98430585861206	1.0	43.98430585861206	1.0	43.98430585861206	1.0	43.98430585861206	1.0
KFJ009.A0101	XXX001.A1823	16.26289933919906	43.976101279258714	4.0	16.26289933919906	1.0	16.26289933919906	1.0	0.0	0.0
RKF089.A0101	RKF156.A0101	24.94110465049743	43.9739018678665	3.0	24.94110465049743	1.0	24.94110465049743	1.0	24.94110465049743	1.0
LEO029.A0101	LEO069.A0101	35.23370027542114	43.97310063795884	2.0	35.23370027542114	1.0	35.23370027542114	1.0	35.23370027542114	1.0
MGS125.A0101	MGS244.A0101	31.060397624969482	43.971896171569824	2.0	43.971896171569824	2.0	31.060397624969482	1.0	31.060397624969482	1.0
LEO113.A0101	LEO089.A0101	13.577592372894278	43.91959011554716	4.0	25.987493991851796	2.0	0.0	0.0	0.0	0.0
RKC030.A0101	RKF046.A0101	43.90569627285003	43.90569627285003	1.0	43.90569627285003	1.0	43.90569627285003	1.0	43.90569627285003	1.0
MGS079.A0101	MGS194.A0101	43.90260130167007	43.90260130167007	1.0	43.90260130167007	1.0	43.90260130167007	1.0	43.90260130167007	1.0
LEO085.A0101	LEO099.A0101	26.411902904510498	43.87390613555907	3.0	26.411902904510498	1.0	26.411902904510498	1.0	26.411902904510498	1.0
XXX001.A1817	I18224	43.85160282254219	43.85160282254219	1.0	43.85160282254219	1.0	43.85160282254219	1.0	43.85160282254219	1.0
MGS206.A0101	MGS145.A0101	43.82639932446182	43.82639932446182	1.0	43.82639932446182	1.0	43.82639932446182	1.0	43.82639932446182	1.0
LEO050.A0101	LEO071.A0101	27.776896953582757	43.795502185821526	2.0	43.795502185821526	2.0	43.795502185821526	2.0	27.776896953582757	1.0
RKF046.A0101	RKC033.A0101	43.772396445274346	43.772396445274346	1.0	43.772396445274346	1.0	43.772396445274346	1.0	43.772396445274346	1.0
LEO074.A0101	LEO139.A0101	22.53539562225341	43.76619458198546	2.0	43.76619458198546	2.0	43.76619458198546	2.0	43.76619458198546	2.0
MGS447.A0101	CSK040.A0101	20.19981145858764	43.765306472778306	3.0	34.966802597045884	2.0	20.19981145858764	1.0	20.19981145858764	1.0
MGS149.A0101	MGS077.A0101	17.84049868583679	43.65620315074919	3.0	43.65620315074919	3.0	17.84049868583679	1.0	0.0	0.0
MGS239.A0101	MGS453.A0101	24.59159940481186	43.64860504865646	3.0	24.59159940481186	1.0	24.59159940481186	1.0	24.59159940481186	1.0
CSK032.A0101	MGS066.A0101	33.63339304924011	43.64279508590698	2.0	33.63339304924011	1.0	33.63339304924011	1.0	33.63339304924011	1.0
MGS318.A0101	MGS255.A0101	27.852001786231988	43.60540211200713	2.0	43.60540211200713	2.0	27.852001786231988	1.0	27.852001786231988	1.0
RKF117.A0101	RKF195.A0101	43.5956060886383	43.5956060886383	1.0	43.5956060886383	1.0	43.5956060886383	1.0	43.5956060886383	1.0
